ID, check_bal , num_inactive_mths , check_trans_average , num_check_acct , avg_check_bal_3mth , num_mth_since_max_bal , num_mth_since_max_neg_bal , mthly_change_in_neg_bal , mthly_change_in_pos_bal , max_bal , max_neg_bal , avg_num_active_acct_last_6_mth , avg_num_active_acct , avg_overdraft , avg_overdraft_last_6_mth , CC_wtdrw_last_3_mth , CC_wtdrw , saving_acct_bal_EOM , change_in_saving_bal_in_1mth , change_in_liquid_funds_in_1mth , liquid_funds_bal , age , CLV , Churn 
705,909, -      ,3,4,137,12,6,"-1,914",-39,471,"81,141",3,5, -      , -      , -      , -      , -      , -      , -      , -      ,68,"4,170",0
706,3,2,4, -      ,10,9,1, -      ,0,69, -      ,2,1, -      , -      , -      , -      , -      , -      , -      , -      ,25,2,0
707, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"1,052",316, -      , -      , -      , -      ,167, -      ,0
708, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,813,123, -      , -      , -      , -      ,145, -      ,0
709,12, -      ,7,6,46,11,4,-26,-81,110,165,3,4,8,35, -      , -      , -      , -      , -      , -      ,48,26,0
710, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,121,57,0
711,619, -      ,12,8,788,3,2,-141,-209,"1,276","2,199",6,7, -      ,9,86,86, -      , -      , -      , -      ,21,265,0
712,78, -      , -      , -      ,78,12,1, -      ,-2,183, -      ,2,3, -      , -      ,362,325, -      , -      , -      , -      ,143,44,0
713, -      , -      , -      , -      , -      ,12,1, -      ,0,25, -      ,1,1, -      , -      , -      , -      , -      , -      ,0,23,93,1,0
714, -      , -      , -      , -      , -      ,10,1, -      ,-96,"4,138", -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,132,26,0
715, -      , -      ,6,6,0,8,12,-71, -      ,54,"1,706",4,4,137,77,251,88, -      , -      , -      , -      ,24,421,0
716,305, -      ,9,12,14,5,3,21,-5,355,47,4,4,40,20, -      , -      , -      , -      , -      , -      ,106,12,0
717,"1,018", -      ,10,12,599,3,12,-874,-231,690,"26,349",4,6, -      ,0, -      , -      , -      , -      , -      , -      ,73,432,0
718, -      , -      ,3,3, -      ,1,12,-272, -      ,0,"12,040",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,70,248,0
719,"1,617", -      ,11,15,313,1,1, -      ,34,616, -      ,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,20,37,0
720,286, -      ,4,10,9,12,1, -      ,"-1,024","54,283", -      ,1,2, -      , -      , -      , -      ,"30,712",-844, -      , -      ,34,795,0
721,0,2,3, -      ,2,11,1, -      ,0,617, -      ,2,1, -      , -      , -      , -      , -      , -      , -      , -      ,80,9,0
722,82, -      ,7,13,5,12,11,1,4,34,15,3,3,2,1, -      , -      , -      , -      , -      , -      ,190,1,0
723,253, -      ,27,32,95,11,5,-27,38,477,254,7,7,169,190,108,64, -      , -      , -      , -      ,25,43,0
724,40, -      ,6,5,5,10,1, -      ,-4,37, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,17,1,0
725,3, -      ,1,5,0,10,12,-74,0,3,"4,309",2,2,172,76, -      , -      , -      , -      , -      , -      ,31,439,0
726, -      , -      , -      , -      , -      ,9,12, -      , -      ,30,"1,656",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,94,105,0
727, -      , -      ,6, -      ,0,9,1,32, -      ,"89,452",444,4,2,387,175, -      , -      , -      , -      , -      , -      ,23,491,0
728, -      , -      ,2, -      ,0,11,11,-233,0,"1,596","7,983",3,2, -      , -      , -      , -      , -      , -      , -      , -      ,61,"1,529",0
729,0, -      , -      , -      ,0,11,1, -      ,0,2,"4,560",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,29,11,0
730, -      , -      ,1, -      , -      ,8,5,-61, -      ,2,"1,276",3,4,477,672,"5,233",516, -      , -      , -      , -      ,72,170,0
731,0, -      ,3,4,13,3,1, -      ,-6,33, -      ,2,3, -      , -      ,-376,272, -      , -      , -      , -      ,45, -      ,0
